Star1_ID,Star2_ID,AngularSeparation_rad
91262,92420,0.126056
68933,57757,0.126692
99473,78384,0.126703
26634,77952,0.126730
86742,28103,0.126883
83081,6867,0.127099
42913,61932,0.127253
37279,94141,0.127268
61932,64962,0.127529
44127,35350,0.127534
37826,102395,0.127980
109492,82729,0.128197
80763,10602,0.128479
24608,97165,0.128578
32768,89937,0.128594
59803,64962,0.129218
20042,93085,0.129424
57632,9236,0.129507
57757,72220,0.129575
93506,75177,0.129647
50335,8796,0.129679
82396,23767,0.129813
63608,112029,0.129884
5447,94141,0.130307
59316,83081,0.130447
14576,112724,0.131047
55219,75177,0.131409
113368,102098,0.131499
65474,21281,0.131508
50583,86414,0.131524
45080,66249,0.131538
67472,50371,0.132204
36188,73334,0.132470
86742,68895,0.132584
83000,35550,0.132656
61359,93747,0.132694
12706,112724,0.132703
93506,61359,0.132755
30324,88635,0.132826
8886,57363,0.132887
44471,102618,0.132901
66657,102618,0.132994
112029,28103,0.133386
13209,106985,0.133652
85670,13209,0.134402
79882,75177,0.134484
14576,86032,0.134487
35904,51576,0.134573
35904,97165,0.134616
33977,72220,0.135067
76267,106032,0.135085
86742,112029,0.135465
2081,54872,0.135707
39953,43109,0.135765
61585,102618,0.135868
85670,48774,0.136119
25985,48774,0.136189
80763,92041,0.136216
43813,33856,0.136346
32362,77233,0.136380
54061,112623,0.136564
2081,82729,0.136695
76600,57757,0.136715
30324,5364,0.136724
86742,63608,0.136824
61941,68895,0.136932
86263,56343,0.137048
12706,35550,0.137142
84379,20894,0.137170
677,48002,0.137436
68933,72105,0.137500
25985,32607,0.137694
28380,32768,0.137910
59803,106032,0.138121
102098,93194,0.138341
43813,82545,0.138821
9236,57757,0.138821
21281,75177,0.138826
41037,37819,0.139120
106032,68756,0.139123
2021,90422,0.139176
26311,72607,0.139385
85670,85727,0.139395
88714,40526,0.139400
43813,89962,0.139537
54872,67472,0.139772
23015,109492,0.139893
61941,63608,0.140021
30324,25985,0.140122
113726,37229,0.140235
91262,27628,0.140411
9640,42828,0.140498
11767,17678,0.140631
27366,26241,0.140867
23015,73334,0.140911
93805,109492,0.140969
94376,50335,0.140985
60718,23767,0.140994
109492,76600,0.141236
104732,49583,0.141311
74785,73714,0.141363
42828,7607,0.141573
13847,56343,0.141626
102098,23015,0.141632
67472,109492,0.141759
61084,6686,0.141939
71683,62322,0.142468
61359,68756,0.142492
112029,68895,0.142683
87833,81833,0.142684
32607,5364,0.142888
2081,76600,0.143095
61932,106032,0.143099
93805,68756,0.143174
21421,18543,0.143412
74666,68245,0.143791
11767,71795,0.143862
43813,89937,0.144007
28360,85670,0.144010
86032,73714,0.144259
112158,92041,0.144310
109492,75177,0.144357
77952,26551,0.144697
106032,67472,0.144728
52419,86742,0.144760
61941,28103,0.144768
80763,72607,0.144901
89931,75177,0.145114
72105,84345,0.145290
54539,23685,0.145346
71352,106032,0.145370
78265,17847,0.145448
13847,22549,0.145542
101769,72220,0.145672
71681,62322,0.145949
26311,54061,0.146039
97278,71053,0.146640
77070,99240,0.146736
61932,23875,0.146827
21281,109492,0.147026
32607,13209,0.147115
61359,75177,0.147186
55219,82729,0.147504
65474,82729,0.147552
77952,26549,0.147629
26634,80112,0.147661
27989,35904,0.147734
36188,13209,0.147754
80763,86670,0.147850
45941,75177,0.148398
44816,85696,0.148428
45941,23015,0.148447
45941,61359,0.148466
11767,30122,0.148474
17702,100345,0.148599
746,36377,0.148708
83000,12706,0.148718
76267,46853,0.148800
107315,29655,0.148829
4427,93085,0.148912
23875,85670,0.148946
26241,54879,0.148948
61359,79882,0.148997
78265,84380,0.149126
36188,93194,0.149340
92855,112158,0.149451
106032,55219,0.149669
77070,85267,0.150118
49669,67927,0.150313
68933,46853,0.150396
25281,66249,0.150688
71352,54872,0.150690
65378,112029,0.150733
4427,41704,0.150799
37229,7607,0.150801
68933,72220,0.150879
46853,68756,0.150966
93506,93805,0.150975
85927,80816,0.151153
84345,93747,0.151169
28360,13209,0.151807
13847,3092,0.151840
25930,67927,0.151973
108085,49841,0.152119
112029,113726,0.152365
52419,50335,0.152477
54872,82729,0.152925
9236,101769,0.153118
32349,86414,0.153153
110960,51624,0.153181
48774,13209,0.153438
87833,72220,0.153579
65474,76600,0.153916
23685,38170,0.154273
21281,57757,0.154318
57757,82729,0.154486
106032,50371,0.154682
11767,3821,0.154829
35264,73555,0.155059
82273,81266,0.155387
26727,8796,0.155691
60718,56561,0.155887
9640,37229,0.155892
33977,81833,0.156105
112122,82396,0.156179
88771,111169,0.156251
75097,77233,0.156396
46853,67472,0.156481
102098,61932,0.156746
57632,86414,0.156961
72607,2021,0.157004
2081,21281,0.157020
52419,112029,0.157298
76600,55219,0.157401
24608,17678,0.157425
17358,68282,0.157470
86670,112158,0.157743
59803,48774,0.157751
26311,77622,0.157784
65378,94376,0.157936
92855,80331,0.158452
102098,27628,0.158473
24674,63613,0.158484
9884,61941,0.158537
62434,32246,0.158735
23875,93194,0.158877
38170,51624,0.159314
68895,50335,0.159318
94376,74395,0.159672
28380,43813,0.159726
50372,55282,0.159867
47908,7607,0.159958
30438,62956,0.160023
76267,93805,0.160155
84345,57757,0.160375
76267,61359,0.160407
46390,100345,0.160536
93506,23015,0.160556
32349,50583,0.160727
90422,102422,0.160804
57632,72220,0.160847
25336,43109,0.160943
94376,112029,0.160964
42913,14354,0.161282
61359,89931,0.161805
112122,16083,0.161873
10064,24674,0.161873
54872,61359,0.161962
54061,50099,0.161997
19780,77233,0.162037
9640,47908,0.162328
23015,89931,0.162356
36850,95947,0.162413
100453,75097,0.162658
80816,33018,0.162685
79882,93805,0.162700
61932,54872,0.163110
78820,112623,0.163352
97278,49583,0.163355
42913,59803,0.163568
85670,73334,0.163687
25336,109427,0.163692
57757,68245,0.164038
100751,109074,0.164205
23015,55219,0.164208
