HIP,Hpmag,x,y,z
88635,3.135600,0.159275,0.523073,0.837273
83895,3.135900,-0.885095,0.388724,0.255930
31685,3.139500,0.326290,-0.626546,0.707796
75141,3.141700,0.524613,0.829397,-0.192045
106032,3.143800,-0.018855,0.123381,0.992180
23416,3.145700,0.983030,0.092676,-0.158315
84379,3.150100,0.393313,0.872811,-0.288973
89642,3.151200,-0.274288,-0.524103,0.806277
64962,3.152100,-0.090152,0.369852,0.924707
50801,3.154400,-0.058209,0.788626,-0.612112
54539,3.163800,-0.532611,-0.687501,0.493628
59316,3.176100,-0.768024,-0.253649,0.588048
44127,3.188000,0.582559,-0.170669,-0.794668
32246,3.191500,0.899541,0.436833,-0.001586
84970,3.193100,-0.960383,0.244977,0.132859
100345,3.210400,0.521735,0.297483,-0.799560
95947,3.217700,0.828859,0.466068,0.309473
99473,3.224500,0.225602,0.642695,-0.732152
94376,3.229600,0.073667,-0.090649,-0.993155
93194,3.234200,-0.119880,0.267151,0.956169
21281,3.237200,0.054745,-0.038771,0.997747
83081,3.239300,-0.833346,-0.156921,0.530010
71908,3.246500,-0.408206,-0.355410,-0.840863
45860,3.252000,0.441044,-0.882328,0.164246
24305,3.252800,0.837703,-0.265582,0.477200
101772,3.270700,-0.054449,-0.984455,0.166987
52943,3.270700,-0.509344,0.722671,0.467242
85267,3.271000,-0.815303,-0.553471,0.170148
46853,3.277000,0.042723,-0.151100,0.987595
50099,3.278300,-0.528613,0.291220,-0.797345
43813,3.280300,-0.306637,0.892317,-0.331278
46701,3.281100,-0.120622,-0.876072,-0.466848
27628,3.283300,-0.342520,0.078319,0.936240
22449,3.286200,-0.762911,-0.156460,0.627285
14354,3.288900,-0.280906,0.307246,0.909226
25281,3.291900,-0.622271,0.392017,-0.677570
29655,3.294500,-0.751393,0.438450,-0.493122
113136,3.296400,0.332990,0.936188,0.112557
73714,3.309300,0.973468,-0.174038,-0.148563
8886,3.310700,-0.633864,-0.213118,0.743503
32607,3.311400,0.033782,0.628603,0.776992
84380,3.312100,0.256376,0.574868,-0.777044
75264,3.313800,-0.178247,-0.738943,-0.649763
23685,3.321500,-0.527336,-0.764549,0.370649
51576,3.322500,0.247257,0.329165,0.911326
67464,3.323700,-0.661947,-0.020609,0.749268
54879,3.328800,-0.448252,0.850677,0.274626
26207,3.329800,0.443074,-0.752258,-0.487640
59774,3.335300,-0.064443,0.882824,0.465261
78384,3.339800,0.227413,0.731916,-0.642326
17678,3.342000,0.386755,0.103146,0.916396
87261,3.352100,-0.720772,-0.329693,0.609747
83000,3.361200,0.997455,-0.051125,0.049701
45080,3.366600,-0.662116,0.351442,-0.661885
104732,3.374300,-0.221865,-0.299508,-0.927939
36377,3.375700,0.547382,-0.551901,0.629109
116727,3.376700,0.607330,-0.099597,0.788182
18724,3.377400,-0.884515,-0.460292,-0.075922
79882,3.388700,-0.017688,0.008853,0.999804
112029,3.388700,-0.078000,-0.143634,-0.986552
38827,3.393900,-0.895497,0.168291,-0.412024
67472,3.396900,0.062036,0.003670,0.998067
89962,3.399500,-0.412816,0.878065,-0.242043
93805,3.402600,-0.131790,-0.105999,0.985594
66249,3.414700,-0.714269,0.418065,-0.561286
84143,3.414900,0.669628,0.305192,0.677094
68895,3.418700,-0.009643,-0.019235,-0.999768
90422,3.423400,-0.387325,-0.112764,-0.915021
3092,3.432800,-0.780660,-0.336405,-0.526689
63090,3.440500,-0.618820,0.743601,-0.253219
95501,3.440800,0.700638,-0.713006,0.027010
32362,3.441700,0.664813,0.673211,0.323745
50372,3.458600,-0.454969,-0.159229,-0.876156
20894,3.459700,0.365024,0.916749,-0.162263
75458,3.463800,-0.239429,0.709706,0.662564
32759,3.464400,-0.161480,0.430953,-0.887808
5165,3.464600,0.631399,0.667682,-0.394381
93864,3.468900,0.542867,0.618268,-0.568366
102395,3.473300,0.949787,0.214529,0.227776
82545,3.482900,-0.175416,0.933408,-0.313015
69996,3.484900,-0.165042,-0.454778,-0.875179
88048,3.487100,-0.858058,0.383506,0.341556
19780,3.495300,0.669741,0.654789,0.350284
12706,3.500100,0.995416,-0.015117,-0.094438
43109,3.500400,0.959378,-0.247559,0.135306
48774,3.503100,0.003989,0.398657,0.917091
49583,3.503400,-0.251219,-0.424756,-0.869753
41704,3.504100,0.168450,-0.488139,-0.856356
50335,3.509600,0.140169,0.033483,-0.989561
38170,3.510900,-0.449925,-0.851407,0.269580
109492,3.512000,-0.078160,0.023770,0.996657
20042,3.516700,0.051287,-0.723580,-0.688332
112623,3.519000,-0.475023,0.144488,-0.868030
8796,3.521000,0.262615,-0.001029,-0.964900
10602,3.521100,-0.289466,0.132907,-0.947916
50371,3.529800,-0.067296,-0.023262,0.997462
6867,3.532900,-0.783229,-0.078803,0.616719
42536,3.537100,0.263726,0.844401,-0.466299
77516,3.541100,-0.204553,0.936580,0.284561
109427,3.553400,0.892976,-0.441949,-0.085292
24674,3.554400,-0.551179,-0.642621,-0.532203
86974,3.559600,0.777595,-0.347141,0.524250
92420,3.561800,-0.358040,0.081330,0.930157
85727,3.568100,-0.238385,0.491088,0.837857
102422,3.569200,-0.519443,-0.163122,-0.838791
74395,3.571100,0.078311,-0.247697,-0.965667
44471,3.577800,0.683308,0.729395,-0.032764
27288,3.577800,-0.214005,0.595199,-0.774558
13209,3.583100,-0.044524,0.526979,0.848711
3821,3.583500,0.285409,-0.086763,0.954471
33856,3.584700,-0.174787,0.926582,-0.333008
76600,3.599900,0.038906,-0.055025,0.997727
35550,3.603100,0.997147,0.074973,0.008809
113726,3.604100,-0.085032,0.008102,-0.996345
86263,3.607500,-0.834502,-0.459135,-0.304635
17847,3.608400,0.347972,0.318931,-0.881589
2920,3.611200,0.867827,-0.159711,-0.470499
35350,3.614800,0.611082,-0.282018,-0.739624
42828,3.618800,-0.098911,0.171945,-0.980128
98337,3.621500,-0.261680,-0.756604,0.599228
5364,3.623500,0.095535,0.720490,0.686853
22549,3.623600,-0.665995,-0.403661,-0.627302
74666,3.626800,0.288866,-0.143418,0.946566
47508,3.628200,-0.637892,-0.624424,-0.450764
8102,3.629500,-0.613649,-0.755482,0.229528
88714,3.632700,0.088458,0.980915,0.173151
55219,3.637500,-0.107272,0.002810,0.994226
33018,3.640500,0.735777,-0.378675,0.561460
81833,3.641100,0.280351,-0.193243,0.940245
68756,3.645200,-0.021983,-0.015394,0.999640
73555,3.646900,-0.683996,0.585578,0.435026
22797,3.647000,0.199816,0.737665,0.644922
46651,3.657700,0.245614,0.897956,-0.365171
89937,3.666600,-0.321560,0.828105,-0.459175
112748,3.668500,-0.860348,-0.057573,-0.506445
112724,3.670400,0.974202,-0.012794,-0.225314
40526,3.671400,-0.035010,0.970917,0.236842
17378,3.679600,-0.698406,0.633049,0.333884
26549,3.681100,0.848955,-0.116587,-0.515445
77233,3.683600,0.575634,0.767486,0.282153
57363,3.684000,-0.648010,-0.331760,0.685578
17499,3.685700,0.495727,-0.169699,-0.851738
99240,3.687600,-0.817981,-0.537697,0.204424
93085,3.688000,0.074773,-0.629230,-0.773614
75177,3.690900,-0.058241,-0.118971,0.991188
27072,3.697700,0.245691,0.863395,0.440664
20889,3.699200,-0.359865,-0.874586,0.324956
56343,3.702500,-0.808691,-0.404180,-0.427384
16083,3.708200,-0.042020,-0.952017,-0.303148
26551,3.710300,0.849172,-0.113526,-0.515770
57757,3.713600,0.033101,-0.190501,0.981129
55282,3.717900,-0.587981,-0.112781,-0.800973
37819,3.720000,-0.961210,-0.072070,-0.266237
101769,3.723000,-0.026479,-0.441396,0.896922
37740,3.728500,-0.736117,0.093975,-0.670299
15474,3.730300,-0.901183,0.366693,-0.231098
1562,3.731400,-0.118870,0.816189,-0.565425
60260,3.731900,0.757573,-0.009915,0.652675
46733,3.732700,-0.059285,-0.971873,0.227921
71053,3.733100,-0.187610,-0.465723,-0.864815
72220,3.737100,0.025359,-0.315582,0.948559
75695,3.737300,-0.584881,0.334990,-0.738712
100064,3.738800,-0.975436,0.219230,0.021510
37229,3.743900,0.003977,-0.100106,-0.994969
68245,3.744800,0.185548,-0.243096,0.952091
110960,3.745000,-0.491313,-0.870752,-0.020064
76470,3.747100,0.203947,-0.969091,-0.138813
86414,3.749700,-0.246648,-0.361795,0.899038
7607,3.751500,-0.053264,0.039230,-0.997810
77622,3.754800,-0.114282,0.202655,-0.972559
88771,3.763600,0.088837,-0.986380,-0.138430
87108,3.763700,0.905483,-0.056348,0.420625
101958,3.765000,0.436942,-0.876358,-0.202676
82729,3.765100,0.034501,-0.037178,0.998713
106985,3.766000,0.076432,0.573114,0.815903
63613,3.769800,-0.536381,-0.538099,-0.650188
86929,3.770000,0.260110,-0.178728,-0.948894
15900,3.770000,-0.545694,-0.744066,0.385467
49841,3.774800,-0.270366,0.939366,0.210935
6537,3.775700,0.178482,-0.269066,-0.946439
102618,3.781800,0.619100,0.782110,0.070852
111169,3.782000,0.101002,-0.994742,0.016967
68282,3.787700,-0.466388,0.496666,-0.731987
28103,3.788800,-0.012981,-0.028004,-0.999524
61199,3.790300,-0.922151,0.366641,-0.123340
7097,3.791400,0.596073,0.720548,0.354269
30867,3.792100,-0.719307,0.134535,-0.681541
51624,3.796500,-0.429798,-0.895193,0.117909
71795,3.797100,0.369815,0.145861,0.917584
